代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159695,通信ETF嘉实,3.064,3.0676,0.12,-0.165,-5.11,430673.0,134133336.2,3.165,3.231,3.045,3.229,5.76,13.95,1.37,-88.3,165592.0,265081.0,-32830215.0,-24.48,-30308091.0,-22.6,-2522124.0,-1.88,6079612.0,4.53,26750603.0,19.94,1368.0,3.063,3.064,308812080.0,946200213,946200213,2026-07-13 00:00:00,2026-07-13 15:34:12+08:00
560110,中证1000ETF汇添富,1.165,1.1677,0.23,-0.063,-5.13,608648.0,72170438.0,1.218,1.223,1.162,1.228,4.97,26.82,1.3,-23.94,242747.0,365901.0,-10838828.0,-15.02,-13685625.0,-18.96,2846797.0,3.94,6178327.0,8.56,4660501.0,6.46,-4542.0,1.164,1.165,226903500.0,264342578,264342578,2026-07-13 00:00:00,2026-07-13 16:11:39+08:00
589900,科创综指ETF博时,1.808,1.8059,-0.12,-0.098,-5.14,255517.0,47342341.0,1.963,1.963,1.792,1.906,8.97,15.59,1.51,-13.22,125952.0,129565.0,-3530566.0,-7.46,-11230617.0,-23.72,7700051.0,16.26,2301595.0,4.86,1228972.0,2.6,-15.0,1.807,1.808,163908200.0,296346026,296346026,2026-07-13 00:00:00,2026-07-13 16:12:01+08:00
159609,光伏ETF浦银,0.497,0.4956,-0.28,-0.027,-5.15,303901.0,15398377.6,0.525,0.525,0.493,0.524,6.11,9.77,1.31,24.54,82156.0,221745.0,-2171558.0,-14.1,-3208264.0,-20.84,1036706.0,6.73,1240214.0,8.05,931344.0,6.05,699.0,0.495,0.497,310903408.0,154518994,154518994,2026-07-13 00:00:00,2026-07-13 15:34:15+08:00
515320,电子50ETF华安,1.783,1.7761,-0.39,-0.097,-5.16,142287.0,26174753.0,1.831,1.892,1.775,1.88,6.22,17.94,1.45,5.33,61737.0,80550.0,-2528391.0,-9.66,520650.0,1.99,-3049041.0,-11.65,1936094.0,7.4,592296.0,2.26,-727.0,1.782,1.783,79309000.0,141407947,141407947,2026-07-13 00:00:00,2026-07-13 16:11:39+08:00
588290,科创芯片ETF华安,4.244,4.2389,-0.12,-0.231,-5.16,1312104.0,574243277.0,4.405,4.532,4.2,4.475,7.42,10.08,1.12,43.87,607863.0,704241.0,45999810.0,8.01,29161378.0,5.08,16838432.0,2.93,-69271682.0,-12.06,23271878.0,4.05,-3871.0,4.244,4.245,1301397008.0,5523128902,5523128902,2026-07-13 00:00:00,2026-07-13 16:11:48+08:00
588680,科创100增强ETF广发,2.746,2.7362,-0.36,-0.15,-5.18,20462.0,5715508.0,2.89,2.919,2.722,2.896,6.8,6.32,1.65,12.04,9252.0,11210.0,-1940279.0,-33.95,0.0,0.0,-1940279.0,-33.95,-90549.0,-1.58,2030828.0,35.53,-860.0,2.742,2.746,32361000.0,88863306,88863306,2026-07-13 00:00:00,2026-07-13 16:11:53+08:00
159863,光伏ETF鹏华,0.568,0.5679,-0.02,-0.031,-5.18,98614.0,5716065.6,0.599,0.599,0.566,0.599,5.51,3.28,1.14,28.71,43441.0,55173.0,-2786754.0,-48.75,-28844.0,-0.5,-2757910.0,-48.25,1028251.0,17.99,1758503.0,30.76,196.0,0.567,0.568,300729360.0,170814276,170814276,2026-07-13 00:00:00,2026-07-13 15:34:36+08:00
515260,电子ETF华宝,0.987,0.9841,-0.29,-0.054,-5.19,1045755.0,105893148.0,1.01,1.048,0.98,1.041,6.53,11.17,1.08,-20.35,372372.0,673383.0,-753530.0,-0.71,9808580.0,9.26,-10562110.0,-9.97,-1820250.0,-1.72,2573781.0,2.43,-3460.0,0.987,0.988,936568400.0,924393011,924393011,2026-07-13 00:00:00,2026-07-13 16:11:40+08:00
562660,中证2000ETF华夏,1.784,1.7786,-0.3,-0.098,-5.21,321498.0,58258327.0,1.868,1.885,1.774,1.882,5.9,15.1,1.56,-37.82,146149.0,175349.0,-11770919.0,-20.2,-9107455.0,-15.63,-2663464.0,-4.57,6869568.0,11.79,4901352.0,8.41,-4684.0,1.784,1.785,212874000.0,379767216,379767216,2026-07-13 00:00:00,2026-07-13 16:11:58+08:00
